customer_id,customer_name,acquisition_channel,customer_segment,city,state,orders,lifetime_value,avg_order_value,last_order_date
2064,Timothy Ramirez,organic_search,At Risk,Miami,FL,11,12830.88,1166.44,2025-11-10
244,William Ramirez,social_media,At Risk,Los Angeles,CA,8,12818.94,1602.37,2025-11-26
4010,Dorothy Rivera,paid_search,Regular,Nashville,TN,9,12789.73,1421.08,2025-08-23
9413,James Clark,affiliate,Regular,Philadelphia,PA,8,12759.89,1594.99,2025-12-12
4910,Kevin Miller,email,VIP,Indianapolis,IN,12,12706.62,1058.88,2025-12-04
3196,Betty Hall,social_media,Wholesale,Indianapolis,IN,7,12705.71,1815.10,2025-09-25
3417,Patricia Miller,email,At Risk,Chicago,IL,9,12698.70,1410.97,2025-09-26
3171,Jennifer Baker,organic_search,At Risk,San Jose,CA,8,12687.44,1585.93,2025-12-11
5702,George Williams,organic_search,Regular,Denver,CO,11,12681.82,1152.89,2025-07-24
8731,Sarah Hernandez,marketplace,New,Las Vegas,NV,9,12621.38,1402.38,2025-09-15
4667,Robert Garcia,organic_search,Regular,Austin,TX,7,12585.49,1797.93,2025-10-19
714,Kenneth Harris,social_media,New,Los Angeles,CA,11,12566.83,1142.44,2025-10-09
3734,Dorothy Martin,marketplace,New,Jacksonville,FL,9,12565.96,1396.22,2025-11-03
7460,Sandra Lopez,organic_search,Regular,Chicago,IL,7,12565.36,1795.05,2025-11-06
8218,Mark Martin,paid_search,New,Philadelphia,PA,10,12537.06,1253.71,2025-11-05
404,Ashley Green,affiliate,Regular,New York,NY,9,12523.29,1391.48,2025-10-30
1686,Karen Williams,direct,VIP,Indianapolis,IN,14,12517.07,894.08,2025-12-28
9908,Christopher Rivera,paid_search,Wholesale,Philadelphia,PA,8,12515.75,1564.47,2025-11-26
9581,Mark Flores,affiliate,Regular,Philadelphia,PA,8,12476.39,1559.55,2025-11-13
4207,Jessica Martinez,email,VIP,Nashville,TN,9,12431.81,1381.31,2025-11-24
7340,Michelle Clark,social_media,New,Fort Worth,TX,8,12423.01,1552.88,2025-10-31
7416,Jessica Nguyen,referral,At Risk,San Jose,CA,10,12414.23,1241.42,2025-09-30
354,Karen Thomas,direct,Regular,Portland,OR,7,12380.40,1768.63,2025-09-07
5143,Betty Clark,direct,New,San Jose,CA,9,12347.67,1371.96,2025-10-04
3757,Anthony Thompson,paid_search,VIP,Seattle,WA,7,12292.81,1756.12,2024-10-21
5429,Christopher Martin,affiliate,New,New York,NY,9,12262.13,1362.46,2025-03-11
5514,Amanda Ramirez,referral,Regular,Fort Worth,TX,9,12245.16,1360.57,2025-10-01
1833,Timothy Rivera,email,Regular,Washington,DC,8,12184.44,1523.06,2025-11-11
7936,Deborah Rodriguez,email,New,Austin,TX,7,12173.77,1739.11,2025-05-20
1760,Joshua Moore,paid_search,New,San Antonio,TX,10,12118.87,1211.89,2025-05-29
4713,George Moore,referral,At Risk,New York,NY,8,12118.84,1514.86,2025-12-15
5780,Melissa Ramirez,email,New,Denver,CO,8,12115.08,1514.38,2025-09-08
5186,Linda Davis,direct,At Risk,Charlotte,NC,6,12065.09,2010.85,2025-04-21
5009,George Gonzalez,social_media,Regular,San Jose,CA,8,12032.40,1504.05,2025-08-27
6870,Sarah Brown,referral,New,San Francisco,CA,8,12006.44,1500.80,2025-08-13
3076,Sarah Harris,referral,Wholesale,Charlotte,NC,9,11998.47,1333.16,2025-06-09
5188,Timothy Hernandez,social_media,Regular,Miami,FL,9,11998.24,1333.14,2025-12-17
1218,George Campbell,affiliate,Regular,Columbus,OH,7,11982.79,1711.83,2025-11-08
3194,William Carter,direct,New,Jacksonville,FL,11,11977.47,1088.86,2025-11-21
2561,Joshua Robinson,paid_search,Regular,Seattle,WA,9,11970.82,1330.09,2025-10-24
9311,Mark Brown,affiliate,Wholesale,Denver,CO,6,11969.66,1994.94,2025-10-09
766,Brian Hill,affiliate,Regular,Austin,TX,10,11939.83,1193.98,2025-10-29
524,Sandra Jackson,organic_search,Regular,Houston,TX,6,11932.88,1988.81,2025-02-21
4893,Karen Wright,social_media,Regular,Phoenix,AZ,7,11920.54,1702.93,2025-06-16
3769,Elizabeth Martinez,marketplace,VIP,Austin,TX,9,11902.33,1322.48,2025-01-31
4486,Donald Hernandez,direct,VIP,Portland,OR,7,11887.33,1698.19,2025-10-01
8894,John Nelson,email,New,Jacksonville,FL,8,11881.00,1485.12,2025-10-20
6423,Joseph Anderson,email,Regular,Miami,FL,8,11877.03,1484.63,2025-09-01
5374,Kevin Wright,affiliate,Regular,Portland,OR,6,11868.63,1978.11,2025-07-29
8615,Patricia Williams,direct,New,San Francisco,CA,9,11865.77,1318.42,2025-05-24
9699,Emily Hall,marketplace,At Risk,Columbus,OH,6,11857.32,1976.22,2025-08-31
1804,Susan Garcia,paid_search,Regular,Dallas,TX,9,11841.95,1315.77,2025-10-09
439,Susan Lopez,email,New,Phoenix,AZ,8,11841.82,1480.23,2025-12-28
5456,Christopher Davis,social_media,At Risk,Charlotte,NC,7,11838.19,1691.17,2025-11-23
125,Emily Carter,email,Regular,Austin,TX,8,11821.94,1477.74,2025-10-20
8806,Linda Walker,social_media,New,San Francisco,CA,10,11805.01,1180.50,2025-05-06
245,David Lee,paid_search,New,Indianapolis,IN,8,11800.09,1475.01,2025-10-18
2069,Paul Hill,marketplace,At Risk,San Francisco,CA,8,11794.82,1474.35,2025-12-17
8681,Andrew Lopez,direct,VIP,Fort Worth,TX,7,11782.98,1683.28,2025-05-15
7111,Lisa Young,affiliate,Regular,San Jose,CA,7,11782.82,1683.26,2025-08-04
5860,Nancy Rodriguez,marketplace,New,San Diego,CA,5,11777.76,2355.55,2025-11-30
4172,Mary Brown,marketplace,VIP,New York,NY,6,11774.79,1962.46,2025-11-16
5783,Michelle Flores,social_media,Regular,Nashville,TN,11,11768.53,1069.87,2025-09-14
7142,William Anderson,affiliate,Regular,Austin,TX,12,11761.93,980.16,2025-11-08
8826,John Miller,paid_search,Regular,San Jose,CA,7,11748.71,1678.39,2025-09-14
8088,Andrew Miller,direct,Regular,New York,NY,6,11748.57,1958.10,2025-11-11
3828,Daniel Robinson,direct,At Risk,Philadelphia,PA,6,11748.39,1958.06,2025-07-08
8602,Sandra Baker,marketplace,Regular,Columbus,OH,7,11746.61,1678.09,2025-10-06
7581,James Carter,email,Regular,San Diego,CA,10,11731.06,1173.11,2025-11-20
6755,Deborah Rivera,marketplace,New,Seattle,WA,12,11723.80,976.98,2025-11-14
4487,Andrew Scott,direct,Regular,Los Angeles,CA,9,11701.84,1300.20,2025-11-24
3114,Paul Hernandez,social_media,Regular,Portland,OR,9,11685.08,1298.34,2025-12-22
118,Susan Moore,marketplace,At Risk,Charlotte,NC,8,11659.96,1457.50,2025-09-07
6383,Jennifer Carter,direct,VIP,Chicago,IL,9,11652.29,1294.70,2025-12-01
2929,Amanda Hall,paid_search,Regular,Portland,OR,7,11651.11,1664.44,2024-06-14
8335,Margaret Mitchell,direct,VIP,San Antonio,TX,7,11636.68,1662.38,2025-10-25
190,Andrew Adams,social_media,Wholesale,Boston,MA,6,11629.97,1938.33,2025-10-04
6252,Nancy Anderson,paid_search,Regular,Miami,FL,12,11626.02,968.84,2025-10-16
1031,Steven Ramirez,referral,New,Nashville,TN,9,11621.40,1291.27,2025-10-30
9113,Steven Jackson,paid_search,Wholesale,San Jose,CA,11,11613.93,1055.81,2025-06-30
6285,Richard Baker,direct,Regular,Los Angeles,CA,7,11585.41,1655.06,2025-12-31
3953,Ashley Campbell,affiliate,At Risk,Houston,TX,8,11579.23,1447.40,2025-11-08
169,Donna Scott,direct,Regular,Columbus,OH,7,11557.58,1651.08,2025-02-18
9013,Melissa Baker,direct,New,New York,NY,8,11552.42,1444.05,2025-11-27
8179,Sandra Carter,email,New,New York,NY,10,11550.47,1155.05,2025-08-17
299,Brian Jones,organic_search,At Risk,Chicago,IL,5,11511.42,2302.28,2025-06-14
9681,Jennifer Miller,direct,New,San Francisco,CA,9,11479.70,1275.52,2025-07-15
8671,Joshua Martinez,marketplace,Regular,New York,NY,11,11471.04,1042.82,2025-11-24
9466,Emily Lopez,marketplace,New,Washington,DC,5,11459.90,2291.98,2025-05-21
8617,Matthew Thompson,paid_search,Regular,San Jose,CA,10,11440.41,1144.04,2025-10-04
9940,Sandra Ramirez,paid_search,At Risk,Denver,CO,8,11433.59,1429.20,2025-11-08
2115,Timothy Mitchell,email,Regular,San Jose,CA,7,11416.63,1630.95,2025-11-02
777,David Torres,affiliate,New,Houston,TX,8,11412.92,1426.61,2025-01-25
6659,Nancy Davis,social_media,New,Portland,OR,10,11395.76,1139.58,2025-12-17
4725,Susan Hernandez,affiliate,New,Boston,MA,6,11394.15,1899.02,2025-11-24
6378,Matthew Smith,organic_search,Regular,Philadelphia,PA,11,11380.86,1034.62,2025-12-19
669,Paul Smith,organic_search,At Risk,San Francisco,CA,6,11359.34,1893.22,2024-11-15
8695,Betty King,email,New,San Antonio,TX,7,11357.61,1622.52,2024-12-27
3813,Sarah Lee,email,Regular,Columbus,OH,9,11347.71,1260.86,2025-12-15
6599,Christopher Wright,social_media,Wholesale,San Francisco,CA,10,11332.21,1133.22,2025-12-04
5185,Ashley Baker,direct,New,Miami,FL,8,11312.63,1414.08,2025-12-03
4466,Anthony Adams,email,New,Miami,FL,8,11306.84,1413.35,2025-10-03
74,Daniel Martin,email,Wholesale,Columbus,OH,6,11304.24,1884.04,2025-09-15
2159,Nancy Baker,email,New,Fort Worth,TX,10,11293.27,1129.33,2025-12-26
9475,Charles Flores,paid_search,At Risk,Washington,DC,7,11234.82,1604.97,2025-12-23
9288,Melissa Rivera,direct,New,Phoenix,AZ,9,11230.31,1247.81,2025-11-09
6915,Barbara Carter,direct,Regular,Dallas,TX,9,11226.59,1247.40,2025-08-29
3483,Nancy Wilson,direct,New,Washington,DC,6,11204.08,1867.35,2025-02-07
5013,Sarah Campbell,paid_search,New,Jacksonville,FL,7,11200.81,1600.12,2025-11-13
7302,Timothy Nelson,direct,Regular,Seattle,WA,8,11194.41,1399.30,2025-08-22
3028,Carol Campbell,organic_search,VIP,Charlotte,NC,9,11187.34,1243.04,2025-06-15
2262,Kimberly Torres,email,Regular,Philadelphia,PA,8,11186.96,1398.37,2025-07-03
2995,Kenneth Wilson,email,Regular,Phoenix,AZ,5,11186.47,2237.29,2025-11-24
9849,Matthew Baker,paid_search,New,San Diego,CA,7,11182.93,1597.56,2024-11-02
2140,Michael Garcia,direct,VIP,New York,NY,7,11163.50,1594.79,2025-09-02
7658,Anthony Jones,paid_search,New,Denver,CO,5,11156.67,2231.33,2024-08-05
1249,Matthew Rivera,email,Regular,Seattle,WA,8,11151.39,1393.92,2025-05-19
443,Barbara Johnson,organic_search,Regular,New York,NY,11,11149.98,1013.63,2025-07-05
8098,Joseph Wright,marketplace,Regular,Charlotte,NC,6,11148.05,1858.01,2025-09-03
1603,Linda Thompson,paid_search,VIP,San Diego,CA,7,11115.86,1587.98,2025-01-06
7886,Joshua Carter,referral,VIP,Chicago,IL,7,11108.69,1586.96,2025-10-21
2681,Carol Adams,social_media,New,San Francisco,CA,9,11108.16,1234.24,2025-11-02
4475,Barbara Hill,direct,New,Washington,DC,7,11081.88,1583.13,2025-07-04
7300,William Perez,referral,Regular,San Francisco,CA,13,11080.70,852.36,2025-11-22
8161,Jennifer Adams,direct,Wholesale,Fort Worth,TX,8,11066.81,1383.35,2025-07-06
7470,Elizabeth Hernandez,referral,VIP,Nashville,TN,8,11054.36,1381.80,2025-12-10
111,Joshua Taylor,organic_search,New,Nashville,TN,6,11054.23,1842.37,2025-08-22
5801,Brian Perez,direct,New,Portland,OR,9,11042.77,1226.97,2025-08-01
8264,Ashley Davis,marketplace,At Risk,New York,NY,8,11040.81,1380.10,2025-12-23
8952,Brian Ramirez,direct,New,Seattle,WA,9,11040.72,1226.75,2025-08-31
147,James Taylor,referral,Regular,Nashville,TN,10,11026.35,1102.63,2025-09-29
1253,William King,marketplace,New,New York,NY,7,11019.62,1574.23,2025-09-22
9707,Richard Campbell,organic_search,At Risk,New York,NY,7,11011.61,1573.09,2025-08-04
152,George Martinez,direct,Regular,San Francisco,CA,7,11011.06,1573.01,2025-05-12
1110,William Adams,social_media,Regular,New York,NY,6,11009.88,1834.98,2025-11-06
1610,Kenneth Nguyen,social_media,Regular,San Francisco,CA,7,11002.25,1571.75,2025-07-30
5972,Dorothy Robinson,organic_search,Regular,Houston,TX,7,10982.53,1568.93,2025-08-11
5236,Karen Thomas,social_media,Regular,Nashville,TN,7,10974.60,1567.80,2024-09-12
8030,John Garcia,paid_search,Wholesale,Charlotte,NC,8,10964.28,1370.54,2025-07-25
9679,Karen Brown,social_media,Wholesale,Miami,FL,7,10963.88,1566.27,2025-12-30
2208,Patricia Mitchell,paid_search,Regular,San Antonio,TX,9,10960.94,1217.88,2025-03-10
7184,Jennifer Williams,marketplace,At Risk,Boston,MA,9,10960.06,1217.78,2025-11-12
3628,John Williams,organic_search,New,Fort Worth,TX,9,10940.47,1215.61,2025-07-06
5548,Charles Torres,direct,Wholesale,San Jose,CA,6,10932.03,1822.00,2025-10-20
1119,Andrew Anderson,organic_search,Regular,Dallas,TX,9,10913.14,1212.57,2025-12-17
5006,Andrew Thompson,paid_search,Regular,San Diego,CA,7,10880.75,1554.39,2025-07-04
8745,Nancy Moore,social_media,New,Austin,TX,5,10851.83,2170.37,2025-07-27
5544,Sarah Flores,affiliate,Wholesale,Dallas,TX,7,10831.14,1547.31,2025-10-31
4316,Donald Young,referral,New,New York,NY,7,10820.89,1545.84,2025-07-06
2258,Linda Sanchez,organic_search,Wholesale,Houston,TX,5,10786.17,2157.23,2024-10-08
8286,Melissa Roberts,social_media,Regular,Phoenix,AZ,8,10737.56,1342.19,2025-07-03
5218,Daniel Rodriguez,direct,Regular,Seattle,WA,7,10735.05,1533.58,2025-11-17
2073,Richard Perez,direct,Regular,Dallas,TX,8,10714.13,1339.27,2025-10-17
3774,Patricia Hill,direct,New,Miami,FL,5,10706.47,2141.29,2025-07-23
7313,Kevin Smith,affiliate,Regular,San Jose,CA,8,10706.29,1338.29,2025-12-31
1725,Christopher Lewis,social_media,New,Washington,DC,5,10703.98,2140.80,2024-05-24
4724,Dorothy Nguyen,social_media,VIP,Dallas,TX,8,10694.68,1336.83,2025-10-20
3539,Joshua Martin,social_media,Regular,Denver,CO,7,10684.10,1526.30,2025-10-30
8388,Amanda Perez,organic_search,Regular,Austin,TX,6,10679.93,1779.99,2025-11-21
6014,Patricia White,paid_search,New,Los Angeles,CA,8,10675.63,1334.45,2025-08-20
1402,Deborah Harris,marketplace,At Risk,Jacksonville,FL,7,10653.25,1521.89,2025-08-22
73,Anthony Harris,direct,Wholesale,Miami,FL,8,10649.49,1331.19,2025-09-01
3366,Patricia Robinson,social_media,New,Miami,FL,4,10644.49,2661.12,2024-10-28
2474,Barbara Gonzalez,direct,Regular,San Jose,CA,11,10627.21,966.11,2025-10-20
1562,Paul Robinson,referral,Regular,Denver,CO,8,10622.24,1327.78,2025-12-21
3045,Timothy Torres,referral,Regular,Austin,TX,8,10620.98,1327.62,2025-07-14
4593,Linda Sanchez,organic_search,VIP,Portland,OR,5,10613.15,2122.63,2025-10-16
3974,Michelle Martin,marketplace,At Risk,Miami,FL,8,10596.91,1324.61,2025-06-19
1372,Nancy Lewis,organic_search,New,Phoenix,AZ,8,10588.10,1323.51,2025-11-23
712,Karen Williams,affiliate,New,Los Angeles,CA,6,10583.94,1763.99,2025-12-03
4333,Lisa Johnson,affiliate,New,Los Angeles,CA,7,10581.35,1511.62,2025-12-10
4156,Linda Scott,email,New,Austin,TX,8,10581.12,1322.64,2025-09-24
4782,Mark Nelson,marketplace,Regular,Nashville,TN,6,10566.39,1761.06,2025-05-02
1125,Nancy Martin,marketplace,Regular,Houston,TX,8,10553.35,1319.17,2025-06-15
4017,Andrew Walker,referral,New,Charlotte,NC,6,10553.24,1758.87,2025-11-28
2792,Daniel Torres,affiliate,New,Chicago,IL,7,10544.84,1506.41,2025-10-02
8029,Sarah Torres,paid_search,New,Los Angeles,CA,6,10542.29,1757.05,2025-05-14
3971,Donna Miller,email,Wholesale,Nashville,TN,7,10539.36,1505.62,2025-11-05
5242,Christopher Smith,direct,Regular,San Antonio,TX,6,10524.52,1754.09,2025-08-29
200,Karen Adams,referral,New,Portland,OR,6,10512.56,1752.09,2025-10-23
5889,Jessica Nguyen,marketplace,Regular,San Jose,CA,12,10511.87,875.99,2025-12-15
8422,Andrew Rodriguez,direct,VIP,Boston,MA,7,10510.03,1501.43,2025-10-27
6129,Michael Moore,direct,Wholesale,Jacksonville,FL,6,10500.31,1750.05,2025-07-18
6449,Dorothy Miller,referral,New,Jacksonville,FL,7,10491.47,1498.78,2025-08-01
8032,Steven Brown,affiliate,VIP,Philadelphia,PA,7,10482.51,1497.50,2025-12-07
6196,Amanda Martinez,affiliate,At Risk,Washington,DC,8,10480.47,1310.06,2025-10-09
3074,Jennifer Sanchez,affiliate,Regular,Miami,FL,7,10477.44,1496.78,2025-02-26
9661,Margaret Hall,paid_search,New,Philadelphia,PA,8,10464.80,1308.10,2025-12-31
6651,Charles Torres,email,At Risk,San Jose,CA,7,10448.85,1492.69,2025-11-15
7986,Lisa Clark,marketplace,New,Dallas,TX,5,10444.87,2088.97,2025-05-09
6642,Anthony Wright,affiliate,Regular,New York,NY,8,10443.65,1305.46,2025-12-30
937,Robert Miller,referral,Regular,Portland,OR,9,10436.48,1159.61,2025-11-21
9797,Brian Garcia,referral,Wholesale,Boston,MA,13,10421.87,801.68,2025-10-29
6486,Mary Hill,direct,Regular,Austin,TX,8,10421.23,1302.65,2025-04-19
5706,Mary Anderson,social_media,Regular,Houston,TX,13,10416.87,801.30,2025-07-23
4440,Timothy Torres,direct,Wholesale,San Antonio,TX,5,10410.78,2082.16,2025-10-14
412,Daniel King,social_media,VIP,Las Vegas,NV,8,10410.45,1301.31,2025-10-28
8129,Robert Flores,direct,New,Las Vegas,NV,8,10409.64,1301.20,2025-10-05
3359,Joshua Brown,direct,Regular,Washington,DC,8,10376.41,1297.05,2025-08-10
4371,Anthony Green,direct,New,Charlotte,NC,7,10374.43,1482.06,2024-10-26
4403,Patricia Lee,paid_search,New,Nashville,TN,6,10371.10,1728.52,2025-10-04
981,Donna Roberts,paid_search,New,Chicago,IL,5,10369.59,2073.92,2025-10-26
4159,Matthew Robinson,email,New,Indianapolis,IN,8,10353.80,1294.23,2025-06-23
8951,Joshua White,paid_search,Regular,Columbus,OH,5,10350.18,2070.04,2025-11-18
9462,Barbara Adams,referral,Regular,San Antonio,TX,6,10346.32,1724.39,2025-09-12
1616,Christopher Clark,referral,VIP,Columbus,OH,6,10344.84,1724.14,2025-08-31
1438,Melissa Taylor,organic_search,New,New York,NY,3,10317.00,3439.00,2023-08-22
3741,Dorothy Rivera,referral,Regular,Chicago,IL,6,10291.68,1715.28,2025-03-18
4416,Jessica Lopez,referral,VIP,Las Vegas,NV,7,10270.35,1467.19,2025-08-06
7026,Michelle Baker,direct,VIP,Phoenix,AZ,10,10269.64,1026.96,2025-12-27
8385,Timothy Thomas,paid_search,Wholesale,Austin,TX,8,10264.63,1283.08,2025-04-11
3458,Susan Gonzalez,referral,Regular,Las Vegas,NV,6,10258.12,1709.69,2025-05-10
1854,Jessica Moore,referral,VIP,Austin,TX,6,10256.69,1709.45,2025-07-29
1113,Deborah Hall,marketplace,New,Jacksonville,FL,5,10256.33,2051.27,2025-04-18
5566,Andrew Green,marketplace,At Risk,Columbus,OH,8,10242.39,1280.30,2025-12-12
1606,Emily Nelson,email,At Risk,Boston,MA,9,10238.06,1137.56,2025-07-29
9369,Richard Campbell,referral,Regular,Philadelphia,PA,6,10234.71,1705.78,2025-03-28
3852,Robert Wilson,referral,Regular,Fort Worth,TX,6,10232.40,1705.40,2025-07-13
1131,Betty Miller,organic_search,New,Washington,DC,7,10212.10,1458.87,2025-03-20
2892,Kenneth Johnson,paid_search,Regular,Austin,TX,10,10201.52,1020.15,2025-12-05
5831,Kevin Lopez,marketplace,New,Denver,CO,9,10192.87,1132.54,2025-10-25
9342,Charles Rodriguez,email,Wholesale,San Diego,CA,7,10188.86,1455.55,2025-11-15
274,Brian Rivera,referral,New,Jacksonville,FL,5,10171.77,2034.35,2025-04-12
7211,Christopher Green,direct,Wholesale,Las Vegas,NV,6,10169.77,1694.96,2025-11-16
6842,Andrew Allen,referral,Regular,Austin,TX,6,10162.37,1693.73,2025-10-17
3466,Sarah Wright,referral,New,Denver,CO,7,10156.81,1450.97,2025-06-06
8600,Kenneth Anderson,paid_search,VIP,Fort Worth,TX,8,10153.32,1269.16,2025-10-30
4728,Patricia Martin,email,At Risk,Portland,OR,10,10148.43,1014.84,2025-09-24
8142,Paul Smith,affiliate,Regular,San Jose,CA,8,10148.24,1268.53,2025-02-23
8381,Thomas Williams,referral,Regular,Indianapolis,IN,4,10148.06,2537.01,2025-11-22
5605,Timothy Gonzalez,social_media,At Risk,Denver,CO,10,10147.61,1014.76,2025-07-15
7235,Melissa Brown,marketplace,New,Washington,DC,6,10144.94,1690.82,2025-04-17
8824,Carol Harris,direct,Regular,Miami,FL,8,10138.32,1267.29,2025-08-23
2189,Jennifer Anderson,paid_search,New,Miami,FL,9,10133.84,1125.98,2025-10-28
3068,Ashley Miller,social_media,New,Miami,FL,6,10132.86,1688.81,2025-06-21
618,Susan Hall,direct,Regular,Houston,TX,8,10121.73,1265.22,2025-08-17
578,Steven Miller,paid_search,VIP,San Jose,CA,6,10118.50,1686.42,2025-06-09
3343,Linda Nelson,referral,New,Columbus,OH,8,10113.44,1264.18,2024-11-04
8022,Matthew Young,email,New,Columbus,OH,6,10107.19,1684.53,2025-09-11
6902,David Wright,marketplace,New,San Francisco,CA,7,10106.10,1443.73,2025-08-11
5208,John Torres,referral,VIP,Charlotte,NC,8,10104.50,1263.06,2025-11-25
3080,Jennifer Hernandez,organic_search,Wholesale,San Diego,CA,9,10104.08,1122.68,2025-12-27
7255,Donald Jones,email,At Risk,San Diego,CA,6,10048.20,1674.70,2025-03-16
