address_id,customer_id,address_type,street_address,city,state,postal_code,country,is_default
53,43,shipping,1343 Park St,Charlotte,NC,33151,USA,0
54,44,billing,1222 Center St,Los Angeles,CA,60441,USA,1
55,45,shipping,3780 View Ln,Boston,MA,51848,USA,1
56,46,billing,7461 Park Rd,Houston,TX,64480,USA,1
57,47,shipping,5617 Willow Blvd,Los Angeles,CA,86562,USA,1
58,48,shipping,3137 Walnut Blvd,Nashville,TN,11273,USA,1
59,48,billing,1238 Maple Blvd,New York,NY,28506,USA,0
60,49,shipping,351 Cherry Rd,San Diego,CA,64051,USA,1
61,50,shipping,1671 North Ln,Columbus,OH,60972,USA,1
62,51,shipping,4755 Ridge Ave,San Francisco,CA,41912,USA,1
63,52,shipping,3729 Lake St,San Diego,CA,15990,USA,1
64,53,shipping,7185 River St,Miami,FL,35311,USA,1
65,53,billing,7704 Highland Rd,Chicago,IL,34985,USA,0
66,54,billing,3873 Center Rd,Houston,TX,44569,USA,1
67,55,shipping,1492 Washington Rd,Jacksonville,FL,58412,USA,1
68,56,billing,2883 Highland Ave,San Antonio,TX,17485,USA,1
69,57,billing,5434 Washington Blvd,Chicago,IL,19415,USA,1
70,58,shipping,5880 Main Blvd,Nashville,TN,62456,USA,1
71,59,billing,181 Park Rd,Nashville,TN,56372,USA,1
72,60,shipping,719 Cedar Ave,San Antonio,TX,78002,USA,1
73,61,shipping,542 Lake Blvd,Las Vegas,NV,23073,USA,1
74,62,billing,6430 Lake Ln,Miami,FL,64894,USA,1
75,62,billing,1501 Oak Ln,Chicago,IL,36221,USA,0
76,63,shipping,3187 Main Ave,San Francisco,CA,68843,USA,1
77,64,billing,752 Main Rd,Fort Worth,TX,14908,USA,1
78,64,shipping,3167 Willow Blvd,Indianapolis,IN,21214,USA,0
79,65,shipping,2308 Willow Blvd,Miami,FL,23883,USA,1
80,66,shipping,4316 Highland Blvd,San Diego,CA,60994,USA,1
81,66,billing,5903 Cherry Ln,Washington,DC,31801,USA,0
82,67,billing,8895 Lake Ln,Washington,DC,52279,USA,1
83,68,shipping,3227 Walnut Ln,Seattle,WA,40402,USA,1
84,69,shipping,2074 Sunset St,Boston,MA,89727,USA,1
85,70,shipping,9102 River Ave,San Diego,CA,22998,USA,1
86,71,billing,7594 Walnut Rd,Fort Worth,TX,91100,USA,1
87,72,shipping,6766 Walnut Rd,Charlotte,NC,84558,USA,1
88,73,shipping,3324 Highland Ln,Miami,FL,90350,USA,1
89,74,billing,8493 Main Ln,Columbus,OH,96335,USA,1
90,75,shipping,5725 Elm St,Austin,TX,59923,USA,1
91,75,shipping,8623 Cherry Ln,San Antonio,TX,59625,USA,0
92,76,billing,2057 Maple Blvd,Fort Worth,TX,25246,USA,1
93,77,shipping,2282 River Blvd,Dallas,TX,26209,USA,1
94,78,billing,2408 Maple Blvd,Columbus,OH,80054,USA,1
95,79,shipping,7817 Willow Ln,Jacksonville,FL,12810,USA,1
96,80,billing,5685 Elm Rd,San Antonio,TX,32682,USA,1
97,81,shipping,4012 Willow Ave,San Antonio,TX,67919,USA,1
98,82,billing,7158 Highland St,Philadelphia,PA,62159,USA,1
99,83,billing,1329 Cherry Ln,Portland,OR,31987,USA,1
100,84,billing,1552 North Ln,San Jose,CA,18014,USA,1
101,84,shipping,7173 Maple Rd,Washington,DC,94941,USA,0
102,85,billing,2970 Hill Ave,Nashville,TN,35435,USA,1
103,86,billing,6559 Main Blvd,Houston,TX,16253,USA,1
104,87,shipping,3516 Cedar St,Las Vegas,NV,21766,USA,1
105,88,billing,2331 Highland Ave,Las Vegas,NV,33311,USA,1
106,89,billing,1111 Cherry Blvd,San Diego,CA,97676,USA,1
107,90,billing,9744 Hill Ln,Jacksonville,FL,84539,USA,1
108,91,shipping,3984 Hill Blvd,Indianapolis,IN,12062,USA,1
109,92,shipping,8841 River Ave,Boston,MA,51971,USA,1
110,93,billing,4099 Elm Rd,Portland,OR,66279,USA,1
111,94,billing,9536 Center Rd,Las Vegas,NV,59341,USA,1
112,95,billing,7357 Sunset Ave,Houston,TX,96764,USA,1
113,95,shipping,3346 Lake Ln,Fort Worth,TX,92303,USA,0
114,96,billing,2436 Walnut St,Las Vegas,NV,11218,USA,1
115,97,billing,7750 Maple Rd,San Antonio,TX,12797,USA,1
116,98,billing,1178 Park St,Los Angeles,CA,70065,USA,1
117,99,billing,6392 Cedar Ave,New York,NY,40700,USA,1
118,100,billing,8978 Pine Ln,Dallas,TX,87467,USA,1
119,101,shipping,9563 Highland Blvd,Nashville,TN,20643,USA,1
120,102,shipping,2594 Hill Ln,Houston,TX,99288,USA,1
121,103,shipping,2483 Ridge St,Charlotte,NC,60141,USA,1
122,104,billing,3690 Elm Ave,San Antonio,TX,99381,USA,1
123,105,shipping,273 Center St,Chicago,IL,41223,USA,1
124,106,shipping,6424 Park Blvd,San Diego,CA,39810,USA,1
125,107,billing,5400 Hill Ave,Boston,MA,85771,USA,1
126,108,billing,3107 Elm Rd,Phoenix,AZ,57292,USA,1
127,108,billing,1945 Washington Ln,Los Angeles,CA,19251,USA,0
128,109,billing,6358 Park Blvd,Charlotte,NC,88741,USA,1
129,110,billing,4054 Maple St,Washington,DC,60784,USA,1
130,110,billing,3334 Park Rd,Charlotte,NC,83261,USA,0
131,111,shipping,461 River Blvd,Nashville,TN,61841,USA,1
132,112,billing,8086 Park Rd,Philadelphia,PA,28180,USA,1
133,113,shipping,2956 Lake Blvd,San Francisco,CA,15066,USA,1
134,113,shipping,8138 Elm Rd,Columbus,OH,54360,USA,0
135,114,billing,8989 View Rd,Austin,TX,82009,USA,1
136,114,shipping,916 Highland Ave,Washington,DC,49263,USA,0
137,115,billing,1684 Willow St,Austin,TX,76897,USA,1
138,116,billing,1790 River Ln,New York,NY,76202,USA,1
139,117,billing,8175 Center Ln,San Francisco,CA,58721,USA,1
140,118,shipping,2201 Oak Blvd,Charlotte,NC,63841,USA,1
141,119,billing,7488 Hill Blvd,San Jose,CA,32525,USA,1
142,120,shipping,6375 Ridge Ave,Houston,TX,91432,USA,1
143,121,billing,6141 Hill St,Columbus,OH,35498,USA,1
144,121,billing,157 Oak Blvd,Fort Worth,TX,92170,USA,0
145,122,billing,5454 Cedar St,Washington,DC,13012,USA,1
146,123,shipping,63 Maple Ln,Indianapolis,IN,83093,USA,1
147,124,billing,6486 Sunset Rd,Charlotte,NC,28793,USA,1
148,125,shipping,7474 Ridge Ave,Austin,TX,11240,USA,1
149,126,billing,5471 Sunset St,Las Vegas,NV,58395,USA,1
150,127,billing,3859 Center Rd,Los Angeles,CA,44065,USA,1
151,127,shipping,7601 Park Ave,Philadelphia,PA,95205,USA,0
152,128,billing,9531 Main Ln,New York,NY,74450,USA,1
153,129,shipping,5351 Pine Ln,Dallas,TX,79823,USA,1
154,130,shipping,6214 Lake St,Austin,TX,61894,USA,1
155,131,billing,3036 Willow Ln,Nashville,TN,77035,USA,1
156,132,shipping,8772 Center Rd,Portland,OR,83144,USA,1
157,133,shipping,1732 Cherry Ave,Phoenix,AZ,66432,USA,1
158,133,billing,5847 Elm Ln,Miami,FL,82193,USA,0
159,134,billing,8682 Washington Ave,Fort Worth,TX,22767,USA,1
160,135,billing,2501 Ridge Ave,Dallas,TX,15196,USA,1
161,136,billing,9432 Walnut Ln,Jacksonville,FL,13973,USA,1
162,137,shipping,9412 Willow St,San Jose,CA,81075,USA,1
163,138,billing,5186 Hill Blvd,Denver,CO,59433,USA,1
164,139,billing,9620 Center Rd,Nashville,TN,96650,USA,1
165,140,shipping,615 View St,San Diego,CA,60217,USA,1
166,141,billing,2489 Cedar Rd,Las Vegas,NV,79162,USA,1
167,142,billing,7129 Washington Rd,Charlotte,NC,65360,USA,1
168,143,shipping,4409 Elm Ave,Philadelphia,PA,40989,USA,1
169,143,shipping,4999 Park Rd,San Diego,CA,18967,USA,0
170,144,shipping,4956 North Blvd,Philadelphia,PA,70076,USA,1
171,145,billing,7236 Oak Blvd,Charlotte,NC,90758,USA,1
172,145,shipping,1174 Ridge Ave,Dallas,TX,60613,USA,0
173,146,shipping,5497 Pine Ln,Seattle,WA,38630,USA,1
174,146,billing,2486 Cedar Ln,Chicago,IL,24387,USA,0
175,147,shipping,660 Park Ln,Nashville,TN,23623,USA,1
176,148,shipping,1786 Oak St,San Francisco,CA,73777,USA,1
177,148,shipping,1024 Highland Rd,Phoenix,AZ,77174,USA,0
178,149,shipping,1169 View Blvd,Charlotte,NC,17429,USA,1
179,150,shipping,4727 Maple St,San Jose,CA,54107,USA,1
180,151,shipping,4832 Ridge St,Nashville,TN,27604,USA,1
181,152,billing,7911 Elm Ln,San Francisco,CA,44284,USA,1
182,153,billing,1814 View Rd,Charlotte,NC,47187,USA,1
183,153,shipping,2668 Sunset Ln,Washington,DC,42294,USA,0
184,154,shipping,9857 Main Rd,Dallas,TX,49328,USA,1
185,154,shipping,1788 Hill Ave,Portland,OR,75441,USA,0
186,155,billing,3673 Sunset Blvd,Washington,DC,82357,USA,1
187,156,billing,8993 Willow St,Miami,FL,75813,USA,1
188,157,shipping,9693 Sunset Rd,Washington,DC,67556,USA,1
189,158,shipping,9216 North Ave,Houston,TX,89147,USA,1
190,159,billing,5088 Highland Rd,Dallas,TX,78046,USA,1
191,160,billing,5413 Cherry Ln,Miami,FL,68000,USA,1
192,161,billing,3118 Pine Blvd,Nashville,TN,46511,USA,1
193,162,shipping,8180 View Ave,Columbus,OH,23622,USA,1
194,163,shipping,211 View Ave,Phoenix,AZ,90744,USA,1
195,164,shipping,4377 Highland Ave,Washington,DC,75358,USA,1
196,165,shipping,5293 Cherry Rd,Houston,TX,88578,USA,1
197,166,shipping,5130 Pine St,Fort Worth,TX,91834,USA,1
198,167,billing,3324 Hill Rd,Phoenix,AZ,37462,USA,1
199,168,shipping,503 Pine Blvd,Las Vegas,NV,45609,USA,1
200,169,shipping,9477 Center Rd,Columbus,OH,74974,USA,1
201,170,billing,9437 Sunset Blvd,Jacksonville,FL,53031,USA,1
202,171,shipping,1296 Sunset St,Seattle,WA,90394,USA,1
203,172,shipping,7443 Park St,Miami,FL,76618,USA,1
204,172,billing,2343 River Blvd,San Jose,CA,13782,USA,0
205,173,billing,5941 Elm Ln,Dallas,TX,38971,USA,1
206,174,billing,7588 River Ln,Denver,CO,73661,USA,1
207,174,billing,5344 Highland Ave,San Antonio,TX,25624,USA,0
208,175,shipping,5536 Hill Ave,Indianapolis,IN,96166,USA,1
209,176,shipping,1262 Highland Blvd,Austin,TX,85067,USA,1
210,177,shipping,5665 Washington Ave,Dallas,TX,68591,USA,1
211,178,billing,8484 Oak Blvd,Indianapolis,IN,51165,USA,1
212,179,shipping,842 Maple Rd,San Jose,CA,83235,USA,1
213,179,shipping,3886 Oak Ave,Indianapolis,IN,83743,USA,0
214,180,billing,417 Ridge Rd,San Antonio,TX,94868,USA,1
215,181,shipping,4253 Maple Ln,Philadelphia,PA,69304,USA,1
216,182,billing,7272 Pine Ave,Las Vegas,NV,83107,USA,1
217,183,shipping,4019 Cedar St,Portland,OR,84486,USA,1
218,184,shipping,2834 Ridge Blvd,Washington,DC,16098,USA,1
219,185,shipping,8840 Walnut St,Indianapolis,IN,64455,USA,1
220,186,billing,182 Sunset Ave,Philadelphia,PA,31407,USA,1
221,186,billing,2221 Highland Rd,Indianapolis,IN,38564,USA,0
222,187,shipping,7609 Park Ave,Boston,MA,98839,USA,1
223,188,shipping,3111 Cherry Ln,Miami,FL,99239,USA,1
224,189,billing,4433 Elm Rd,Denver,CO,55788,USA,1
225,190,billing,4479 Oak Rd,Boston,MA,52949,USA,1
226,191,shipping,8956 Oak Ln,Denver,CO,93659,USA,1
227,191,billing,1771 View Blvd,Jacksonville,FL,67828,USA,0
228,192,shipping,9019 Willow Rd,Jacksonville,FL,54351,USA,1
229,193,shipping,598 Cherry Ave,Denver,CO,33599,USA,1
230,194,shipping,5660 River Ln,San Francisco,CA,77045,USA,1
231,195,billing,2362 Elm Ln,Chicago,IL,18550,USA,1
232,196,shipping,1437 Maple Ln,Washington,DC,34482,USA,1
233,197,billing,9274 Sunset St,Nashville,TN,38123,USA,1
234,198,shipping,7505 Ridge Ln,Seattle,WA,42487,USA,1
235,199,shipping,8900 Hill Blvd,Denver,CO,77387,USA,1
236,200,shipping,5599 Sunset Ln,Portland,OR,14238,USA,1
237,201,shipping,8007 Walnut St,Las Vegas,NV,37457,USA,1
238,202,billing,3817 Cedar St,San Jose,CA,90230,USA,1
239,203,shipping,6521 Sunset Rd,Phoenix,AZ,51342,USA,1
240,204,billing,4000 Ridge Rd,Austin,TX,59714,USA,1
241,205,billing,8368 Washington Ave,Miami,FL,68530,USA,1
242,206,shipping,9520 Cherry Rd,San Diego,CA,69774,USA,1
243,207,billing,8734 Park Ave,San Francisco,CA,85894,USA,1
244,208,shipping,1000 Highland Rd,Miami,FL,15110,USA,1
245,208,billing,3487 View Ln,Boston,MA,21702,USA,0
246,209,shipping,6936 Hill Rd,Los Angeles,CA,97494,USA,1
247,210,billing,1448 Ridge Blvd,San Jose,CA,59234,USA,1
248,211,billing,4203 Center St,San Diego,CA,33032,USA,1
249,212,shipping,7324 Lake St,San Diego,CA,96980,USA,1
250,213,billing,9462 Sunset Ln,Boston,MA,29537,USA,1
251,214,shipping,1707 Cedar Ln,San Francisco,CA,53402,USA,1
252,215,billing,2911 Oak Ave,Seattle,WA,95118,USA,1
253,216,shipping,2736 Cedar Ln,San Diego,CA,11714,USA,1
254,217,shipping,1154 Elm Blvd,Denver,CO,90135,USA,1
255,218,billing,9010 Park Ave,Columbus,OH,52539,USA,1
256,219,shipping,3689 Oak Ln,Indianapolis,IN,78253,USA,1
257,220,shipping,7724 Elm Rd,Dallas,TX,34710,USA,1
258,221,billing,6829 Main Ln,Boston,MA,50195,USA,1
259,222,shipping,3192 Washington Blvd,Philadelphia,PA,55358,USA,1
260,222,billing,5899 Hill Rd,San Jose,CA,10099,USA,0
261,223,shipping,8309 Cedar Blvd,Chicago,IL,44187,USA,1
262,224,shipping,2592 Cedar Rd,Austin,TX,71925,USA,1
263,225,shipping,2141 Elm Ln,Boston,MA,34351,USA,1
264,226,shipping,6762 Cherry St,Jacksonville,FL,80696,USA,1
265,227,shipping,1226 Highland Ave,San Francisco,CA,28392,USA,1
266,228,billing,425 Highland Rd,Philadelphia,PA,97937,USA,1
267,229,shipping,7319 Sunset St,Washington,DC,11688,USA,1
268,230,shipping,7615 View Rd,Jacksonville,FL,86786,USA,1
269,231,shipping,3140 Ridge Ln,Las Vegas,NV,59251,USA,1
270,232,billing,2398 Sunset St,Chicago,IL,82091,USA,1
271,233,shipping,6278 Ridge Ave,Jacksonville,FL,13794,USA,1
272,233,shipping,6260 Washington Ave,Miami,FL,99949,USA,0
273,234,shipping,2057 Willow St,Austin,TX,34576,USA,1
274,235,billing,4776 Hill Rd,Fort Worth,TX,23532,USA,1
275,235,shipping,5204 Walnut Ave,Los Angeles,CA,59786,USA,0
276,236,shipping,596 Oak Rd,Washington,DC,51338,USA,1
277,237,shipping,5516 Elm Ave,Portland,OR,19704,USA,1
278,238,billing,6772 View Rd,Seattle,WA,68181,USA,1
279,239,billing,8391 Center Ave,Indianapolis,IN,11483,USA,1
280,239,billing,6544 Lake Rd,Portland,OR,75838,USA,0
281,240,shipping,2064 View Ave,Seattle,WA,37767,USA,1
282,240,billing,8973 Center St,Columbus,OH,41203,USA,0
283,241,shipping,5970 Highland Ave,Fort Worth,TX,70997,USA,1
284,242,shipping,9056 Cedar Ln,Austin,TX,43504,USA,1
285,243,shipping,7611 River Ave,Miami,FL,98407,USA,1
286,244,billing,2595 River Rd,Los Angeles,CA,17595,USA,1
287,245,shipping,6681 Pine Ln,Indianapolis,IN,65814,USA,1
288,245,shipping,1446 View Blvd,Charlotte,NC,19521,USA,0
289,246,shipping,6890 Maple Blvd,San Jose,CA,96765,USA,1
290,247,billing,2489 Center Ave,Washington,DC,66257,USA,1
291,248,billing,2420 Walnut St,Boston,MA,96706,USA,1
292,248,shipping,9855 Walnut St,Philadelphia,PA,19579,USA,0
293,249,shipping,7968 Elm St,New York,NY,84027,USA,1
294,250,billing,8828 View Rd,Nashville,TN,73283,USA,1
295,251,shipping,6143 Lake Rd,San Francisco,CA,60845,USA,1
296,252,billing,3980 North Ave,Jacksonville,FL,73042,USA,1
297,252,billing,4874 Hill Ln,San Jose,CA,41043,USA,0
298,253,shipping,5240 Oak Blvd,Charlotte,NC,38769,USA,1
299,254,billing,3493 River St,Fort Worth,TX,23484,USA,1
300,255,shipping,1842 Ridge St,Philadelphia,PA,20861,USA,1
301,256,billing,8006 Maple Ave,Fort Worth,TX,30865,USA,1
302,256,billing,4870 Walnut Ln,Las Vegas,NV,18436,USA,0
303,257,billing,5018 Lake Rd,San Jose,CA,45091,USA,1
304,258,shipping,6482 View Ave,Dallas,TX,84672,USA,1
305,259,billing,8793 Pine Ln,Seattle,WA,27075,USA,1
306,259,shipping,8315 Sunset Ln,San Francisco,CA,30590,USA,0
307,260,shipping,9723 Park Rd,Seattle,WA,89112,USA,1
308,261,billing,7616 Maple St,Austin,TX,87451,USA,1
309,262,shipping,7600 Ridge Ln,Los Angeles,CA,51243,USA,1
310,263,shipping,3377 Hill Rd,Washington,DC,25715,USA,1
311,264,billing,9851 Lake Blvd,Washington,DC,25503,USA,1
312,264,billing,9058 Highland St,Charlotte,NC,64566,USA,0
313,265,billing,7673 Maple Ave,Denver,CO,99192,USA,1
314,266,shipping,1128 Lake Blvd,Denver,CO,31373,USA,1
315,266,billing,9038 Cedar Rd,San Jose,CA,86062,USA,0
316,267,shipping,3947 Willow Blvd,Denver,CO,51242,USA,1
317,267,shipping,2668 Highland Ave,Austin,TX,46480,USA,0
318,268,shipping,5675 Lake Ln,Nashville,TN,92299,USA,1
319,269,billing,562 Pine Blvd,Austin,TX,77890,USA,1
320,270,billing,3268 Cherry Ln,San Francisco,CA,33593,USA,1
321,271,shipping,8754 View Blvd,San Francisco,CA,11090,USA,1
322,272,billing,1987 Pine Rd,Jacksonville,FL,55269,USA,1
323,273,shipping,5807 Cedar St,San Diego,CA,55385,USA,1
324,274,billing,3906 Main Blvd,Jacksonville,FL,58492,USA,1
325,274,billing,8920 Maple St,Seattle,WA,64526,USA,0
326,275,billing,5834 View Rd,Fort Worth,TX,72921,USA,1
327,276,billing,1729 Lake Rd,Charlotte,NC,12321,USA,1
328,277,shipping,3513 Willow St,Portland,OR,13193,USA,1
329,278,shipping,4034 North Ln,Nashville,TN,40667,USA,1
330,278,billing,4004 View Ln,San Francisco,CA,24950,USA,0
331,279,shipping,8649 Highland Ave,San Francisco,CA,18497,USA,1
332,280,shipping,3252 Oak Ln,San Francisco,CA,24433,USA,1
333,281,billing,6874 Willow St,Miami,FL,14089,USA,1
334,282,shipping,3026 Cedar Blvd,Philadelphia,PA,36094,USA,1
335,283,billing,344 North Ave,New York,NY,53297,USA,1
336,284,billing,7953 Maple Ave,Seattle,WA,11296,USA,1
337,285,shipping,5377 Ridge St,Houston,TX,95543,USA,1
338,286,shipping,8677 Center St,Austin,TX,17466,USA,1
339,286,shipping,3077 Center Ln,Boston,MA,44538,USA,0
340,287,billing,5830 Ridge Blvd,Chicago,IL,36474,USA,1
341,288,shipping,9990 Washington Ave,New York,NY,32823,USA,1
342,289,billing,2845 Park Ave,Las Vegas,NV,10952,USA,1
343,290,billing,4042 Oak Ave,Houston,TX,62415,USA,1
344,291,billing,2223 Elm Rd,Boston,MA,65384,USA,1
345,292,billing,4192 Cherry Blvd,Las Vegas,NV,49072,USA,1
346,293,billing,205 North Ln,Nashville,TN,23359,USA,1
347,294,billing,7299 Willow St,Denver,CO,83192,USA,1
348,295,shipping,7882 Walnut Blvd,Indianapolis,IN,54504,USA,1
349,296,billing,4765 Lake Ave,Indianapolis,IN,55959,USA,1
350,297,shipping,8404 Park Ave,Seattle,WA,69714,USA,1
351,298,billing,1215 Walnut St,Denver,CO,36110,USA,1
352,299,shipping,1378 Lake Rd,Chicago,IL,37860,USA,1
353,300,shipping,403 View St,Las Vegas,NV,51007,USA,1
354,301,billing,6138 Cedar St,Nashville,TN,61785,USA,1
355,302,shipping,9125 Park Blvd,Fort Worth,TX,99186,USA,1
356,303,billing,6768 Washington Blvd,Charlotte,NC,41605,USA,1
357,303,billing,4390 Elm Rd,New York,NY,10488,USA,0
358,304,billing,3066 Elm Rd,Dallas,TX,90866,USA,1
359,305,shipping,2221 Walnut Rd,Chicago,IL,13414,USA,1
360,306,shipping,240 Oak Ln,Los Angeles,CA,74124,USA,1
361,307,billing,70 Washington Ln,San Jose,CA,41074,USA,1
362,308,shipping,195 Center Ln,Phoenix,AZ,64114,USA,1
363,309,shipping,9145 Center Blvd,Columbus,OH,92789,USA,1
364,310,shipping,9944 Walnut St,Austin,TX,67894,USA,1
365,311,billing,3650 Washington Ln,San Francisco,CA,29014,USA,1
366,312,shipping,4895 Washington Ave,Seattle,WA,24067,USA,1
367,312,shipping,3350 Lake Ave,San Antonio,TX,22235,USA,0
368,313,billing,621 Maple St,Austin,TX,47921,USA,1
369,314,billing,5430 River St,Fort Worth,TX,34888,USA,1
370,315,billing,9778 Lake St,Austin,TX,86197,USA,1
371,316,shipping,3002 Oak Ave,Miami,FL,13134,USA,1
372,317,shipping,2519 Maple St,Seattle,WA,32574,USA,1
373,318,shipping,9742 Lake St,Jacksonville,FL,77035,USA,1
374,319,billing,7139 Washington Ave,Jacksonville,FL,93597,USA,1
375,319,shipping,3971 Walnut Rd,Houston,TX,46895,USA,0
376,320,shipping,4033 Oak Blvd,Seattle,WA,39880,USA,1
377,321,shipping,2174 Cherry Rd,San Diego,CA,40964,USA,1
378,321,billing,9622 Cherry Rd,New York,NY,40060,USA,0
379,322,billing,5339 Elm Rd,Las Vegas,NV,96097,USA,1
380,322,shipping,6330 Cherry Blvd,San Diego,CA,82003,USA,0
381,323,billing,9482 Cedar Blvd,Seattle,WA,29171,USA,1
382,324,billing,8184 Ridge Rd,Columbus,OH,90734,USA,1
383,324,billing,5077 Hill St,San Jose,CA,48966,USA,0
384,325,billing,9665 Walnut Ln,Jacksonville,FL,71823,USA,1
385,326,shipping,2660 North Blvd,New York,NY,41583,USA,1
386,327,billing,7578 Cedar Ln,Nashville,TN,86831,USA,1
387,328,billing,8786 Park St,Washington,DC,80367,USA,1
388,329,shipping,6753 Hill Ln,Fort Worth,TX,11061,USA,1
389,330,shipping,2444 Pine Ave,Boston,MA,16694,USA,1
390,331,shipping,1495 River Blvd,New York,NY,82642,USA,1
391,332,shipping,1532 Ridge Blvd,Houston,TX,84374,USA,1
392,332,shipping,8863 Cherry St,Fort Worth,TX,34680,USA,0
393,333,billing,1993 Walnut Rd,Chicago,IL,11956,USA,1
394,333,shipping,679 Willow Ln,San Diego,CA,81763,USA,0
395,334,billing,3806 Ridge Ln,Austin,TX,44742,USA,1
396,335,billing,6757 Center Ln,San Jose,CA,15924,USA,1
397,336,billing,3737 Main Rd,Las Vegas,NV,36743,USA,1
398,336,shipping,2407 Elm Blvd,Nashville,TN,99788,USA,0
399,337,billing,7035 Main Blvd,Chicago,IL,63942,USA,1
400,338,shipping,7393 Elm Ave,Charlotte,NC,54303,USA,1
401,339,billing,7870 Elm Rd,Nashville,TN,46772,USA,1
402,340,shipping,7470 North Ave,Phoenix,AZ,71234,USA,1
403,340,shipping,9497 North Blvd,Los Angeles,CA,46466,USA,0
404,341,shipping,3675 Main Ave,San Jose,CA,62618,USA,1
405,342,shipping,4772 Cherry St,Charlotte,NC,65343,USA,1
406,343,shipping,5045 Oak Ln,Austin,TX,18313,USA,1
407,344,shipping,499 Elm Ln,Seattle,WA,69665,USA,1
408,345,billing,392 Highland St,San Francisco,CA,24105,USA,1
409,345,shipping,4864 Walnut St,New York,NY,28980,USA,0
410,346,billing,5857 Walnut Rd,Chicago,IL,83814,USA,1
411,347,billing,1025 Willow Ln,San Antonio,TX,22937,USA,1
412,348,shipping,8874 North Blvd,Fort Worth,TX,60777,USA,1
413,349,shipping,4304 Pine St,Washington,DC,33631,USA,1
414,350,billing,2376 North Rd,Portland,OR,17749,USA,1
415,351,billing,4100 Willow Ave,Fort Worth,TX,25706,USA,1
416,352,billing,5135 Elm St,Seattle,WA,83190,USA,1
